"property1","property2","property4","property5","index","url"
"1","27","SS","Washington State","1","http://www.nfl.com/draft/history/fulldraft?type=team"
"2","52","TE","Notre Dame","2","http://www.nfl.com/draft/history/fulldraft?type=team"
"3","84","DE","North Carolina","3","http://www.nfl.com/draft/history/fulldraft?type=team"
"3","91","WR","Pittsburg State","4","http://www.nfl.com/draft/history/fulldraft?type=team"
"4","120","QB","Virginia Tech","5","http://www.nfl.com/draft/history/fulldraft?type=team"
"5","160","DE","Alabama","6","http://www.nfl.com/draft/history/fulldraft?type=team"
"6","196","WR","Murray State","7","http://www.nfl.com/draft/history/fulldraft?type=team"
