_input,_num,_widgetName,_source,_resultNumber,_pageUrl,rd_number,sel__number,player_link,player_link/_source,player_link/_title,player_link/_text,position,school
,16,2012 NFL Drafts,2012 NFL Drafts,16,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,1,10,http://www.nfl.com/players/stephongilmore/profile?id=GIL801084,/players/stephongilmore/profile?id=GIL801084,,Stephon Gilmore,CB,South Carolina
,17,2012 NFL Drafts,2012 NFL Drafts,17,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,2,41,http://www.nfl.com/players/cordyglenn/profile?id=GLE000000,/players/cordyglenn/profile?id=GLE000000,,Cordy Glenn,T,Georgia
,18,2012 NFL Drafts,2012 NFL Drafts,18,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,3,69,http://www.nfl.com/players/t.j.graham/profile?id=GRA263708,/players/t.j.graham/profile?id=GRA263708,,T.J. Graham,WR,North Carolina State
,19,2012 NFL Drafts,2012 NFL Drafts,19,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,4,105,http://www.nfl.com/players/nigelbradham/profile?id=BRA104685,/players/nigelbradham/profile?id=BRA104685,,Nigel Bradham,LB,Florida State
,20,2012 NFL Drafts,2012 NFL Drafts,20,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,4,124,http://www.nfl.com/players/ronbrooks/profile?id=BRO167445,/players/ronbrooks/profile?id=BRO167445,,Ron Brooks,CB,LSU
,21,2012 NFL Drafts,2012 NFL Drafts,21,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,5,144,http://www.nfl.com/players/zebriesanders/profile?id=SAN511354,/players/zebriesanders/profile?id=SAN511354,,Zebrie Sanders,T,Florida State
,22,2012 NFL Drafts,2012 NFL Drafts,22,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,5,147,http://www.nfl.com/players/tankcarder/profile?id=CAR049002,/players/tankcarder/profile?id=CAR049002,,Tank Carder,LB,Texas Christian
,23,2012 NFL Drafts,2012 NFL Drafts,23,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,6,178,http://www.nfl.com/players/markasper/profile?id=ASP272764,/players/markasper/profile?id=ASP272764,,Mark Asper,G,Oregon
,24,2012 NFL Drafts,2012 NFL Drafts,24,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,7,251,http://www.nfl.com/players/johnpotter/profile?id=POT320982,/players/johnpotter/profile?id=POT320982,,John Potter,K,Western Michigan
,25,2012 NFL Drafts,2012 NFL Drafts,25,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,2,55,http://www.nfl.com/players/peterkonz/profile?id=KON751046,/players/peterkonz/profile?id=KON751046,,Peter Konz,G,Wisconsin
,26,2012 NFL Drafts,2012 NFL Drafts,26,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,3,91,http://www.nfl.com/players/lamarholmes/profile?id=HOL600173,/players/lamarholmes/profile?id=HOL600173,,Lamar Holmes,T,Southern Mississippi
,27,2012 NFL Drafts,2012 NFL Drafts,27,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,5,157,http://www.nfl.com/players/bradieewing/profile?id=EWI444955,/players/bradieewing/profile?id=EWI444955,,Bradie Ewing,RB,Wisconsin
,28,2012 NFL Drafts,2012 NFL Drafts,28,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,5,164,http://www.nfl.com/players/jonathanmassaquoi/profile?id=MAS316324,/players/jonathanmassaquoi/profile?id=MAS316324,,Jonathan Massaquoi,DE,Troy
,29,2012 NFL Drafts,2012 NFL Drafts,29,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,6,192,http://www.nfl.com/players/charlesmitchell/profile?id=MIT153011,/players/charlesmitchell/profile?id=MIT153011,,Charles Mitchell,SS,Mississippi State
,30,2012 NFL Drafts,2012 NFL Drafts,30,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,7,249,http://www.nfl.com/players/travianrobertson/profile?id=ROB360273,/players/travianrobertson/profile?id=ROB360273,,Travian Robertson,NT,South Carolina
,31,2012 NFL Drafts,2012 NFL Drafts,31,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,1,9,http://www.nfl.com/players/lukekuechly/profile?id=KUE289610,/players/lukekuechly/profile?id=KUE289610,,Luke Kuechly,LB,Boston College
,32,2012 NFL Drafts,2012 NFL Drafts,32,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,2,40,http://www.nfl.com/players/aminisilatolu/profile?id=SIL132154,/players/aminisilatolu/profile?id=SIL132154,,Amini Silatolu,G,Midwestern State
,33,2012 NFL Drafts,2012 NFL Drafts,33,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,4,103,http://www.nfl.com/players/frankalexander/profile?id=ALE244551,/players/frankalexander/profile?id=ALE244551,,Frank Alexander,DE,Oklahoma
,34,2012 NFL Drafts,2012 NFL Drafts,34,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,4,104,http://www.nfl.com/players/joeadams/profile?id=ADA404040,/players/joeadams/profile?id=ADA404040,,Joe Adams,WR,Arkansas
,35,2012 NFL Drafts,2012 NFL Drafts,35,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,5,143,http://www.nfl.com/players/joshnorman/profile?id=NOR291905,/players/joshnorman/profile?id=NOR291905,,Josh Norman,CB,Coastal Carolina
,36,2012 NFL Drafts,2012 NFL Drafts,36,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,6,207,http://www.nfl.com/players/bradnortman/profile?id=NOR612614,/players/bradnortman/profile?id=NOR612614,,Brad Nortman,P,Wisconsin
,37,2012 NFL Drafts,2012 NFL Drafts,37,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,7,216,http://www.nfl.com/players/d.j.campbell/profile?id=CAM230172,/players/d.j.campbell/profile?id=CAM230172,,D.J. Campbell,FS,California
