_input,_num,_widgetName,_source,_resultNumber,_pageUrl,rd_number,sel__number,player_link,player_link/_source,player_link/_title,player_link/_text,position,school
,1,2012 NFL Drafts,2012 NFL Drafts,1,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,2,35,http://www.nfl.com/players/courtneyupshaw/profile?id=UPS271236,/players/courtneyupshaw/profile?id=UPS271236,,Courtney Upshaw,LB,Alabama
,2,2012 NFL Drafts,2012 NFL Drafts,2,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,2,60,http://www.nfl.com/players/kelechiosemele/profile?id=OSE406291,/players/kelechiosemele/profile?id=OSE406291,,Kelechi Osemele,T,Iowa State
,3,2012 NFL Drafts,2012 NFL Drafts,3,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,3,84,http://www.nfl.com/players/bernardpierce/profile?id=PIE198196,/players/bernardpierce/profile?id=PIE198196,,Bernard Pierce,RB,Temple
,4,2012 NFL Drafts,2012 NFL Drafts,4,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,4,98,http://www.nfl.com/players/ginogradkowski/profile?id=GRA070103,/players/ginogradkowski/profile?id=GRA070103,,Gino Gradkowski,G,Delaware
,5,2012 NFL Drafts,2012 NFL Drafts,5,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,4,130,http://www.nfl.com/players/christianthompson/profile?id=THO499451,/players/christianthompson/profile?id=THO499451,,Christian Thompson,FS,South Carolina State
,6,2012 NFL Drafts,2012 NFL Drafts,6,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,5,169,http://www.nfl.com/players/asajackson/profile?id=JAC000001,/players/asajackson/profile?id=JAC000001,,Asa Jackson,CB,Cal Poly-S.L.O.
,7,2012 NFL Drafts,2012 NFL Drafts,7,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,6,198,http://www.nfl.com/players/tommystreeter/profile?id=STR314972,/players/tommystreeter/profile?id=STR314972,,Tommy Streeter,WR,Miami (Fla.)
,8,2012 NFL Drafts,2012 NFL Drafts,8,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,7,236,http://www.nfl.com/players/deangelotyson/profile?id=TYS379291,/players/deangelotyson/profile?id=TYS379291,,DeAngelo Tyson,DE,Georgia
,9,2012 NFL Drafts,2012 NFL Drafts,9,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,1,13,http://www.nfl.com/players/michaelfloyd/profile?id=FLO764240,/players/michaelfloyd/profile?id=FLO764240,,Michael Floyd,WR,Notre Dame
,10,2012 NFL Drafts,2012 NFL Drafts,10,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,3,80,http://www.nfl.com/players/jamellfleming/profile?id=FLE257221,/players/jamellfleming/profile?id=FLE257221,,Jamell Fleming,CB,Oklahoma
,11,2012 NFL Drafts,2012 NFL Drafts,11,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,4,112,http://www.nfl.com/players/bobbymassie/profile?id=MAS441786,/players/bobbymassie/profile?id=MAS441786,,Bobby Massie,T,Mississippi
,12,2012 NFL Drafts,2012 NFL Drafts,12,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,5,151,http://www.nfl.com/players/seniokelemete/profile?id=KEL019379,/players/seniokelemete/profile?id=KEL019379,,Senio Kelemete,G,Washington
,13,2012 NFL Drafts,2012 NFL Drafts,13,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,6,177,http://www.nfl.com/players/justinbethel/profile?id=BET201235,/players/justinbethel/profile?id=BET201235,,Justin Bethel,CB,Presbyterian
,14,2012 NFL Drafts,2012 NFL Drafts,14,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,6,185,http://www.nfl.com/players/ryanlindley/profile?id=LIN208832,/players/ryanlindley/profile?id=LIN208832,,Ryan Lindley,QB,San Diego State
,15,2012 NFL Drafts,2012 NFL Drafts,15,http://www.nfl.com/draft/history/fulldraft?teamId=3800&type=team,7,221,http://www.nfl.com/players/natepotter/profile?id=POT363378,/players/natepotter/profile?id=POT363378,,Nate Potter,T,Boise State
