_input,_num,_widgetName,_source,_resultNumber,_pageUrl,rd_number,sel__number,player_link,player_link/_source,player_link/_title,player_link/_text,position,school
,1,2014 NFL drafts,2014 NFL drafts,1,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,1,17,http://www.nfl.com/players/c.j.mosley/profile?id=MOS361252,/players/c.j.mosley/profile?id=MOS361252,,C.J. Mosley,ILB,Alabama
,2,2014 NFL drafts,2014 NFL drafts,2,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,2,48,http://www.nfl.com/players/timmyjernigan/profile?id=JER465471,/players/timmyjernigan/profile?id=JER465471,,Timmy Jernigan,DT,Florida State
,3,2014 NFL drafts,2014 NFL drafts,3,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,3,79,http://www.nfl.com/players/terrencebrooks/profile?id=BRO172431,/players/terrencebrooks/profile?id=BRO172431,,Terrence Brooks,FS,Florida State
,4,2014 NFL drafts,2014 NFL drafts,4,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,3,99,http://www.nfl.com/players/crockettgillmore/profile?id=GIL677592,/players/crockettgillmore/profile?id=GIL677592,,Crockett Gillmore,TE,Colorado State
,5,2014 NFL drafts,2014 NFL drafts,5,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,4,134,http://www.nfl.com/players/brenturban/profile?id=URB226521,/players/brenturban/profile?id=URB226521,,Brent Urban,DE,Virginia
,6,2014 NFL drafts,2014 NFL drafts,6,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,4,138,http://www.nfl.com/players/lorenzotaliaferro/profile?id=TAL413914,/players/lorenzotaliaferro/profile?id=TAL413914,,Lorenzo Taliaferro,RB,Coastal Carolina
,7,2014 NFL drafts,2014 NFL drafts,7,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,5,175,http://www.nfl.com/players/johnurschel/profile?id=URS111903,/players/johnurschel/profile?id=URS111903,,John Urschel,G,Penn State
,8,2014 NFL drafts,2014 NFL drafts,8,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,6,194,http://www.nfl.com/players/keithwenning/profile?id=WEN494391,/players/keithwenning/profile?id=WEN494391,,Keith Wenning,QB,Ball State
,9,2014 NFL drafts,2014 NFL drafts,9,http://www.nfl.com/draft/history/fulldraft?teamId=0325&type=team,7,218,http://www.nfl.com/players/michaelcampanaro/profile?id=CAM169006,/players/michaelcampanaro/profile?id=CAM169006,,Michael Campanaro,WR,Wake Forest
,10,2014 NFL drafts,2014 NFL drafts,10,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,1,4,http://www.nfl.com/players/sammywatkins/profile?id=WAT270480,/players/sammywatkins/profile?id=WAT270480,,Sammy Watkins,WR,Clemson
,11,2014 NFL drafts,2014 NFL drafts,11,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,2,44,http://www.nfl.com/players/cyruskouandjio/profile?id=KOU059326,/players/cyruskouandjio/profile?id=KOU059326,,Cyrus Kouandjio,T,Alabama
,12,2014 NFL drafts,2014 NFL drafts,12,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,3,73,http://www.nfl.com/players/prestonbrown/profile?id=BRO581187,/players/prestonbrown/profile?id=BRO581187,,Preston Brown,ILB,Louisville
,13,2014 NFL drafts,2014 NFL drafts,13,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,4,109,http://www.nfl.com/players/rosscockrell/profile?id=COC494116,/players/rosscockrell/profile?id=COC494116,,Ross Cockrell,CB,Duke
,14,2014 NFL drafts,2014 NFL drafts,14,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,5,153,http://www.nfl.com/players/cyrilrichardson/profile?id=RIC397677,/players/cyrilrichardson/profile?id=RIC397677,,Cyril Richardson,G,Baylor
,15,2014 NFL drafts,2014 NFL drafts,15,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,7,221,http://www.nfl.com/players/randelljohnson/profile?id=JOH588257,/players/randelljohnson/profile?id=JOH588257,,Randell Johnson,LB,Florida Atlantic
,16,2014 NFL drafts,2014 NFL drafts,16,http://www.nfl.com/draft/history/fulldraft?teamId=0610&type=team,7,237,http://www.nfl.com/players/seantrelhenderson/profile?id=HEN135162,/players/seantrelhenderson/profile?id=HEN135162,,Seantrel Henderson,T,Miami (Fla.)
,17,2014 NFL drafts,2014 NFL drafts,17,http://www.nfl.com/draft/history/fulldraft?type=team,1,27,http://www.nfl.com/players/deonebucannon/profile?id=BUC019775,/players/deonebucannon/profile?id=BUC019775,,Deone Bucannon,SS,Washington State
,18,2014 NFL drafts,2014 NFL drafts,18,http://www.nfl.com/draft/history/fulldraft?type=team,2,52,http://www.nfl.com/players/troyniklas/profile?id=NIK372127,/players/troyniklas/profile?id=NIK372127,,Troy Niklas,TE,Notre Dame
,19,2014 NFL drafts,2014 NFL drafts,19,http://www.nfl.com/draft/history/fulldraft?type=team,3,84,http://www.nfl.com/players/kareemmartin/profile?id=MAR665531,/players/kareemmartin/profile?id=MAR665531,,Kareem Martin,DE,North Carolina
,20,2014 NFL drafts,2014 NFL drafts,20,http://www.nfl.com/draft/history/fulldraft?type=team,3,91,http://www.nfl.com/players/johnbrown/profile?id=BRO494712,/players/johnbrown/profile?id=BRO494712,,John Brown,WR,Pittsburg State
,21,2014 NFL drafts,2014 NFL drafts,21,http://www.nfl.com/draft/history/fulldraft?type=team,4,120,http://www.nfl.com/players/loganthomas/profile?id=THO296280,/players/loganthomas/profile?id=THO296280,,Logan Thomas,QB,Virginia Tech
,22,2014 NFL drafts,2014 NFL drafts,22,http://www.nfl.com/draft/history/fulldraft?type=team,5,160,http://www.nfl.com/players/edstinson/profile?id=STI638331,/players/edstinson/profile?id=STI638331,,Ed Stinson,DE,Alabama
,23,2014 NFL drafts,2014 NFL drafts,23,http://www.nfl.com/draft/history/fulldraft?type=team,6,196,http://www.nfl.com/players/waltpowell/profile?id=POW570795,/players/waltpowell/profile?id=POW570795,,Walt Powell,WR,Murray State
,24,2014 NFL drafts,2014 NFL drafts,24,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,1,28,http://www.nfl.com/players/kelvinbenjamin/profile?id=BEN150538,/players/kelvinbenjamin/profile?id=BEN150538,,Kelvin Benjamin,WR,Florida State
,25,2014 NFL drafts,2014 NFL drafts,25,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,2,60,http://www.nfl.com/players/konyealy/profile?id=EAL784006,/players/konyealy/profile?id=EAL784006,,Kony Ealy,DE,Missouri
,26,2014 NFL drafts,2014 NFL drafts,26,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,3,92,http://www.nfl.com/players/traiturner/profile?id=TUR715469,/players/traiturner/profile?id=TUR715469,,Trai Turner,G,LSU
,27,2014 NFL drafts,2014 NFL drafts,27,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,4,128,http://www.nfl.com/players/treboston/profile?id=BOS695248,/players/treboston/profile?id=BOS695248,,Tre Boston,SS,North Carolina
,28,2014 NFL drafts,2014 NFL drafts,28,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,5,148,http://www.nfl.com/players/benebenwikere/profile?id=BEN780726,/players/benebenwikere/profile?id=BEN780726,,Bene Benwikere,CB,San Jose State
,29,2014 NFL drafts,2014 NFL drafts,29,http://www.nfl.com/draft/history/fulldraft?teamId=0750&type=team,6,204,http://www.nfl.com/players/tylergaffney/profile?id=GAF629685,/players/tylergaffney/profile?id=GAF629685,,Tyler Gaffney,RB,Stanford
,30,2014 NFL drafts,2014 NFL drafts,30,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,1,6,http://www.nfl.com/players/jakematthews/profile?id=MAT565555,/players/jakematthews/profile?id=MAT565555,,Jake Matthews,T,Texas A&M
,31,2014 NFL drafts,2014 NFL drafts,31,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,2,37,http://www.nfl.com/players/ra'shedehageman/profile?id=HAG152196,/players/ra'shedehageman/profile?id=HAG152196,,Ra'Shede Hageman,DT,Minnesota
,32,2014 NFL drafts,2014 NFL drafts,32,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,3,68,http://www.nfl.com/players/dezmensouthward/profile?id=SOU683214,/players/dezmensouthward/profile?id=SOU683214,,Dezmen Southward,FS,Wisconsin
,33,2014 NFL drafts,2014 NFL drafts,33,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,4,103,http://www.nfl.com/players/devontafreeman/profile?id=FRE174508,/players/devontafreeman/profile?id=FRE174508,,Devonta Freeman,RB,Florida State
,34,2014 NFL drafts,2014 NFL drafts,34,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,4,139,http://www.nfl.com/players/princeshembo/profile?id=SHE457237,/players/princeshembo/profile?id=SHE457237,,Prince Shembo,OLB,Notre Dame
,35,2014 NFL drafts,2014 NFL drafts,35,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,5,147,http://www.nfl.com/players/ricardoallen/profile?id=ALL641418,/players/ricardoallen/profile?id=ALL641418,,Ricardo Allen,CB,Purdue
,36,2014 NFL drafts,2014 NFL drafts,36,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,5,168,http://www.nfl.com/players/marquisspruill/profile?id=SPR791190,/players/marquisspruill/profile?id=SPR791190,,Marquis Spruill,LB,Syracuse
,37,2014 NFL drafts,2014 NFL drafts,37,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,7,253,http://www.nfl.com/players/yawinsmallwood/profile?id=SMA759621,/players/yawinsmallwood/profile?id=SMA759621,,Yawin Smallwood,ILB,Connecticut
,38,2014 NFL drafts,2014 NFL drafts,38,http://www.nfl.com/draft/history/fulldraft?teamId=0200&type=team,7,255,http://www.nfl.com/players/tylerstarr/profile?id=STA660376,/players/tylerstarr/profile?id=STA660376,,Tyler Starr,LB,South Dakota
