"Pos","Num","property11","property12","Team.href","Team.text","Player Name.href","Player Name.text","Status","Quick Stats","property6","property7","property8","property9","property10","index","url"
"DE","93","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/lawrenceguy/2495481/profile","Guy, Lawrence","ACT","TCKL","46","SCK","4.5","FF","0","25","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"SS","33","INT","1","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/willhill/2536028/profile","Hill, Will","ACT","TCKL","64","SCK","1.0","FF","0","26","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"T","74","","","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/jameshurst/2550210/profile","Hurst, James","ACT","G","16","GS","8","","","27","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"OG","66","","","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/ryanjensen/2541159/profile","Jensen, Ryan","ACT","G","11","GS","6","","","28","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"DE","97","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/timmyjernigan/2543461/profile","Jernigan, Timmy","ACT","TCKL","37","SCK","4.0","FF","0","29","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"FB","44","TDS","0","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/kylejuszczyk/2540230/profile","Juszczyk, Kyle","ACT","CAR","2","YDS","3","AVG","1.5","30","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"P","4","IN 20","29","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/samkoch/2506969/profile","Koch, Sam","ACT","PUNTS","74","AVG","46.7","LNG","67","31","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"CB","41","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/anthonylevine/2508004/profile","Levine, Anthony","ACT","TCKL","7","SCK","0.0","FF","1","32","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"FS","23","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/kendricklewis/494277/profile","Lewis, Kendrick","ACT","TCKL","61","SCK","0.0","FF","1","33","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"DE","95","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/kapronlewis-moore/2539276/profile","Lewis-Moore, Kapron","ACT","TCKL","3","SCK","0.0","FF","0","34","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"RB","30","TDS","0","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/terrencemagee/2552383/profile","Magee, Terrence","ACT","CAR","2","YDS","5","AVG","2.5","35","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"QB","7","RTG","67.9","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/ryanmallett/2495443/profile","Mallett, Ryan","ACT","TDS","5","INT","6","YDS","1,336","36","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"WR","84","TDS","1","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/chrismatthews/2531049/profile","Matthews, Chris","ACT","REC","13","YDS","151","AVG","11.6","37","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"OLB","50","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/albertmcclellan/496814/profile","McClellan, Albert","ACT","TCKL","17","SCK","1.0","FF","0","38","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"T","60","","","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/eugenemonroe/71401/profile","Monroe, Eugene","RES","G","6","GS","6","","","39","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"ILB","57","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/c.j.mosley/2543464/profile","Mosley, C.J.","ACT","TCKL","117","SCK","4.0","FF","1","40","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"LB","54","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/zachorr/2550237/profile","Orr, Zach","ACT","TCKL","22","SCK","1.0","FF","0","41","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"OG","72","","","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/kelechiosemele/2532922/profile","Osemele, Kelechi","ACT","G","14","GS","14","","","42","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"WR","18","TDS","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/breshadperriman/2552597/profile","Perriman, Breshad","RES","REC","--","YDS","--","AVG","--","43","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"TE","88","TDS","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/dennispitta/497254/profile","Pitta, Dennis","PUP","REC","--","YDS","--","AVG","--","44","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"CB","32","INT","0","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/sheldonprice/2539670/profile","Price, Sheldon","ACT","TCKL","1","SCK","0.0","FF","0","45","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"TE","85","TDS","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/allenreisner/2495437/profile","Reisner, Allen","RES","REC","--","YDS","--","AVG","--","46","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"TE","86","TDS","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/konradreuland/2530540/profile","Reuland, Konrad","ACT","REC","--","YDS","--","AVG","--","47","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"DT","79","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/micajahreynolds/2550389/profile","Reynolds, Micajah","RES","TCKL","--","SCK","--","FF","--","48","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"DB","38","INT","0","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/jumalrolle/2541635/profile","Rolle, Jumal","ACT","TCKL","3","SCK","0.0","FF","0","49","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"QB","8","RTG","76.0","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/mattschaub/2505982/profile","Schaub, Matt","ACT","TDS","3","INT","4","YDS","540","50","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"ILB","51","INT","1","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/darylsmith/2506029/profile","Smith, Daryl","ACT","TCKL","121","SCK","3.0","FF","0","51","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"CB","22","INT","3","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/jimmysmith/2508107/profile","Smith, Jimmy","ACT","TCKL","54","SCK","1.0","FF","0","52","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"WR","89","TDS","3","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/stevesmith/2504595/profile","Smith, Steve","RES","REC","46","YDS","670","AVG","14.6","53","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"LB","90","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/za'dariussmith/2552279/profile","Smith, Za'Darius","ACT","TCKL","30","SCK","5.5","FF","0","54","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"OLB","55","INT","--","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/terrellsuggs/2505660/profile","Suggs, Terrell","RES","TCKL","0","SCK","--","FF","--","55","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
"RB","34","TDS","1","http://www.nfl.com/teams/baltimoreravens/profile?team=BAL","BAL","http://www.nfl.com/player/lorenzotaliaferro/2543704/profile","Taliaferro, Lorenzo","RES","CAR","13","YDS","47","AVG","3.6","56","http://www.nfl.com/players/search?category=team&filter=0325&playerType=current"
